fold,precision,recall,f1
1,0.6433485288023207,0.779160811082112,0.704771416897444
2,0.6417045924700041,0.7784581409355551,0.7034970744318955
3,0.6410213196258532,0.7636016864083517,0.6969627559668331
4,0.6411400247831475,0.7790604296326039,0.7034032718538995
5,0.6445348161673168,0.7795623368801445,0.7056471764117941
6,0.6388935456831517,0.7651074081509737,0.6963274255435775
7,0.6388888888888888,0.7734390684601485,0.6997547906638816
8,0.6479215554810593,0.77604898614736,0.7062208824335434
9,0.6398569408633452,0.7723120168657766,0.699872634643377
10,0.6425116744496331,0.773516715189238,0.7019541748280417
average,0.6419821887214721,0.7740267599752264,0.7018411603674287
